Sample #,QC,Length,QC state
500,9,10,FAIL
501,0,0,FAIL
502,48,431,GOOD
503,0,0,FAIL
504,47,417,GOOD
505,35,287,GOOD
506,32,215,GOOD
507,21,171,OK
508,56,693,GOOD
509,42,448,GOOD
510,38,330,GOOD
511,44,395,GOOD
512,50,343,GOOD
513,0,0,FAIL
514,31,284,GOOD
515,42,287,GOOD
516,41,345,GOOD
517,44,339,GOOD
518,42,393,GOOD
519,46,381,GOOD
520,43,380,GOOD
521,46,489,GOOD
522,45,426,GOOD
523,32,361,GOOD
524,22,208,OK
525,46,389,GOOD
526,14,94,FAIL
527,22,245,OK
528,31,303,GOOD
529,16,118,FAIL
530,0,0,FAIL
531,21,190,OK
532,35,275,GOOD
533,29,218,OK
534,44,447,GOOD
535,34,312,GOOD
536,46,436,GOOD
537,40,344,GOOD
538,54,692,GOOD
539,54,695,GOOD
540,18,124,FAIL
541,39,237,GOOD
542,20,189,OK
543,33,275,GOOD
544,55,693,GOOD
545,17,149,FAIL
546,36,335,GOOD
547,15,102,FAIL
548,53,649,GOOD
549,44,1060,GOOD
550,22,150,OK
551,16,123,FAIL
552,46,437,GOOD
553,31,348,GOOD
554,51,516,GOOD
555,52,488,GOOD
556,51,517,GOOD
557,16,118,FAIL
558,16,159,FAIL
559,0,0,FAIL
560,17,185,FAIL
561,11,43,FAIL
562,46,487,GOOD
563,24,221,OK
564,18,176,FAIL
565,47,1057,GOOD
566,15,159,FAIL
567,47,848,GOOD
568,46,526,GOOD
569,45,1016,GOOD
570,41,507,GOOD
571,46,691,GOOD
572,0,0,FAIL
573,19,164,FAIL
574,32,272,GOOD
575,25,224,OK
576,35,366,GOOD
577,52,596,GOOD
578,50,596,GOOD
579,0,0,FAIL
580,19,162,FAIL
581,0,0,FAIL
582,16,113,FAIL
583,12,61,FAIL
584,13,96,FAIL
585,0,0,FAIL
586,0,0,FAIL
587,16,105,FAIL
588,52,526,GOOD
589,48,623,GOOD
590,45,354,GOOD
591,28,303,OK
592,46,784,GOOD
593,20,166,OK
594,51,519,GOOD
595,48,466,GOOD
596,12,54,FAIL
597,18,124,FAIL
598,51,557,GOOD
599,47,444,GOOD
600,37,376,GOOD
601,39,344,GOOD
602,24,244,OK
603,55,690,GOOD
604,28,310,OK
605,38,328,GOOD
606,13,81,FAIL
607,17,147,FAIL
608,16,117,FAIL
609,16,131,FAIL
610,21,210,OK
611,13,72,FAIL
612,13,139,FAIL
613,22,342,OK
614,29,402,OK
615,35,431,GOOD
616,31,352,GOOD
617,29,291,OK
618,24,260,OK
619,20,267,OK
620,56,694,GOOD
621,56,682,GOOD
622,55,690,GOOD
623,56,683,GOOD
624,55,679,GOOD
625,0,0,FAIL
626,12,56,FAIL
627,0,0,FAIL
628,56,683,GOOD
629,32,339,GOOD
630,11,103,FAIL
631,43,923,GOOD
632,31,303,GOOD
633,33,339,GOOD
634,15,145,FAIL
635,31,408,GOOD
636,31,334,GOOD
637,43,463,GOOD
638,45,670,GOOD
639,38,339,GOOD
640,41,475,GOOD
641,49,542,GOOD
642,49,588,GOOD
643,50,550,GOOD
644,48,660,GOOD
645,43,953,GOOD
646,43,433,GOOD
647,50,522,GOOD
648,18,249,FAIL
649,14,82,FAIL
650,23,308,OK
651,0,0,FAIL
652,15,179,FAIL
653,13,105,FAIL
654,18,178,FAIL
655,24,231,OK
656,48,514,GOOD
657,28,289,OK
658,44,623,GOOD
659,52,644,GOOD
660,0,0,FAIL
661,0,0,FAIL
662,0,0,FAIL
663,37,444,GOOD
664,45,570,GOOD
665,46,726,GOOD
666,47,701,GOOD
667,56,688,GOOD
668,28,386,OK
669,32,427,GOOD
670,33,488,GOOD
671,23,233,OK
672,40,405,GOOD
673,36,367,GOOD
674,51,598,GOOD
675,42,609,GOOD
676,25,332,OK
677,18,267,FAIL
678,40,458,GOOD
679,29,441,OK
680,21,131,OK
681,12,62,FAIL
682,55,691,GOOD
683,56,681,GOOD
684,50,690,GOOD
685,56,685,GOOD
686,17,135,FAIL
687,0,0,FAIL
688,25,298,OK
689,56,686,GOOD
690,40,500,GOOD
691,39,495,GOOD
691,39,495,GOOD
