Sample #,Section,Transformation type,,Mean FITC (GFP)
716,D01,HDR1: In_ymUkG1,Red,"9,452.19"
768,D01,HDR10: In_pTDH3_yStaygold,Red,"14,525.71"
792,D01,HDR10: In_pTDH3_yStaygold,Red,"11,179.74"
727,D01,HDR11: In_pTef1_mUKG1,Red,"5,165.37"
725,D01,HDR12: In_pTef1_yUKG1,Red,"10,016.89"
751,D01,HDR12: In_pTef1_yUKG1,Red,"9,215.29"
782,D01,HDR13: In_pTef1_Staygold,Red,"4,293.50"
783,D01,HDR14: In_pTef1_yStaygold,Red,"1,950.64"
788,D01,HDR14: In_pTef1_yStaygold,Red,"5,819.93"
732,D01,HDR2: In_yStayGold,Red,"1,039.71"
702,D01,HDR3: In_pGK1_mUKG1,Red,"6,187.56"
700,D01,HDR4: In_pGK1_yUKG1,Red,"16,330.29"
717,D01,HDR4: In_pGK1_yUKG1,Red,"39,629.99"
758,D01,HDR5: In_pGK1_Staygold,Red,"5,154.96"
734,D01,HDR6:In_pGK1_yStaygold,Red,"5,573.56"
759,D01,HDR6:In_pGK1_yStaygold,Red,"4,943.28"
711,D01,HDR7:In_pTDH3_mUKG1,Red,"15,821.70"
708,D01,HDR8: In_pTDH3_yUKG1,Red,"33,904.01"
750,D01,HDR8: In_pTDH3_yUKG1,Red,"46,644.00"
767,D01,HDR9: In_pTDH3_Staygold,Red,"15,792.16"
862,D02,HDR1: In_ymUkG1,Red,"3,304.12"
876,D02,HDR1: In_ymUkG1,Red,"1,395.73"
884,D02,HDR1: In_ymUkG1,Red,"1,481.29"
885,D02,HDR1: In_ymUkG1,Red,"1,206.62"
855,D02,HDR10: In_pTDH3_yStaygold,Red,831.12
831,D02,HDR11: In_pTef1_mUKG1,Red,"4,318.61"
837,D02,HDR12: In_pTef1_yUKG1,Red,"13,707.96"
860,D02,HDR12: In_pTef1_yUKG1,Red,"4,937.57"
838,D02,HDR13: In_pTef1_Staygold,Red,"4,035.41"
828,D02,HDR14: In_pTef1_yStaygold,Red,"3,529.60"
853,D02,HDR2: In_yStayGold,Red,863.06
803,D02,HDR3: In_pGK1_mUKG1,Red,"3,585.71"
806,D02,HDR3: In_pGK1_mUKG1,Red,"14,877.59"
877,D02,HDR4: In_pGK1_yUKG1,Red,"24,960.48"
801,D02,HDR5: In_pGK1_Staygold,Red,"6,437.56"
808,D02,HDR5: In_pGK1_Staygold,Red,"1,857.66"
820,D02,HDR7:In_pTDH3_mUKG1,Red,"24,370.33"
812,D02,HDR8: In_pTDH3_yUKG1,Red,"27,347.88"
821,D02,HDR8: In_pTDH3_yUKG1,Red,"120,964.38"
813,D02,HDR9: In_pTDH3_Staygold,Red,"13,189.11"
