Sample #,QC,Length,QC state
700,0,0,FAIL
701,0,0,FAIL
702,13,93,FAIL
703,9,16,FAIL
708,0,0,FAIL
709,0,0,FAIL
710,0,0,FAIL
711,11,35,FAIL
716,18,88,FAIL
717,17,91,FAIL
718,14,75,FAIL
719,41,509,GOOD
724,35,387,GOOD
725,0,0,FAIL
726,0,0,FAIL
727,38,227,GOOD
732,34,287,GOOD
733,32,314,GOOD
734,0,0,FAIL
735,13,123,FAIL
748,36,369,GOOD
749,0,0,FAIL
750,32,278,GOOD
751,0,0,FAIL
756,15,120,FAIL
757,0,0,FAIL
758,0,0,FAIL
759,0,0,FAIL
765,40,581,GOOD
766,16,154,FAIL
767,33,344,GOOD
768,0,0,FAIL
780,32,314,GOOD
781,14,160,FAIL
782,14,156,FAIL
783,0,0,FAIL
788,31,373,GOOD
789,16,203,FAIL
790,36,554,GOOD
792,0,0,FAIL
800,27,258,OK
801,33,375,GOOD
802,21,307,OK
803,0,0,FAIL
806,0,0,FAIL
807,0,0,FAIL
808,0,0,FAIL
809,0,0,FAIL
812,35,386,GOOD
813,37,583,GOOD
814,10,42,FAIL
815,32,783,GOOD
820,36,574,GOOD
821,17,201,FAIL
822,32,450,GOOD
823,35,314,GOOD
828,41,833,GOOD
829,49,671,GOOD
830,17,237,FAIL
831,28,379,OK
836,42,647,GOOD
837,39,897,GOOD
838,38,567,GOOD
839,35,750,GOOD
844,52,343,GOOD
845,39,472,GOOD
846,38,545,GOOD
847,27,351,OK
853,37,821,GOOD
854,16,224,FAIL
855,0,0,FAIL
856,51,679,GOOD
860,15,200,FAIL
861,11,38,FAIL
862,14,149,FAIL
863,48,656,GOOD
876,36,638,GOOD
877,23,395,OK
878,51,680,GOOD
879,24,323,OK
884,45,728,GOOD
885,31,704,GOOD
886,10,49,FAIL
887,54,678,GOOD
700,9,12,FAIL
701,15,140,FAIL
702,49,585,GOOD
703,44,462,GOOD
708,29,426,OK
709,50,370,GOOD
710,49,440,GOOD
711,50,403,GOOD
716,47,396,GOOD
717,47,419,GOOD
718,44,423,GOOD
719,43,1046,GOOD
724,49,742,GOOD
725,0,0,FAIL
726,0,0,FAIL
727,50,461,GOOD
732,50,507,GOOD
733,51,513,GOOD
734,42,374,GOOD
735,45,436,GOOD
748,47,883,GOOD
749,8,4,FAIL
750,51,587,GOOD
751,46,434,GOOD
756,31,322,GOOD
757,0,0,FAIL
758,0,0,FAIL
759,0,0,FAIL
765,45,945,GOOD
766,46,433,GOOD
767,54,495,GOOD
768,34,365,GOOD
780,50,446,GOOD
781,46,429,GOOD
782,48,465,GOOD
783,0,0,FAIL
788,50,563,GOOD
789,48,473,GOOD
790,47,718,GOOD
792,23,298,OK
800,43,388,GOOD
801,52,559,GOOD
802,47,434,GOOD
803,0,0,FAIL
806,27,307,OK
807,15,144,FAIL
808,40,393,GOOD
809,21,199,OK
812,47,450,GOOD
813,50,611,GOOD
814,26,338,OK
815,42,1021,GOOD
820,49,594,GOOD
821,47,421,GOOD
822,51,549,GOOD
823,52,524,GOOD
828,50,827,GOOD
829,51,692,GOOD
830,50,552,GOOD
831,47,575,GOOD
836,51,643,GOOD
837,43,1022,GOOD
838,47,758,GOOD
839,48,666,GOOD
844,53,359,GOOD
845,50,539,GOOD
846,48,668,GOOD
847,46,500,GOOD
853,41,986,GOOD
854,30,447,OK
855,11,45,FAIL
856,56,679,GOOD
860,24,355,OK
861,10,28,FAIL
862,44,456,GOOD
863,54,692,GOOD
876,47,912,GOOD
877,46,561,GOOD
878,56,680,GOOD
879,48,470,GOOD
884,52,723,GOOD
885,50,781,GOOD
886,0,0,FAIL
887,53,689,GOOD
