Sample #,Section,Transformation type,Colony Color,Mean FITC (GFP),Mean FITC each group,Standard Deviation
172,A01,HDR1: In_ymUkG1,Red,"3,361.86","2,907.08",3233.262913
180,A01,HDR1: In_ymUkG1,Red,"2,642.53",,
188,A01,HDR1: In_ymUkG1,Red,"3,653.67",,
272,A02,HDR1: In_ymUkG1,Red,"1,685.47",,
280,A02,HDR1: In_ymUkG1,Red,"1,302.42",,
288,A02,HDR1: In_ymUkG1,Red,776.10,,
373,B01,HDR1: In_ymUkG1,Red,"1,506.65",,
374,B01,HDR1: In_ymUkG1,Red,1052.16,,
388,B01,HDR1: In_ymUkG1,Red,"1,948.24",,
421,B02,HDR1: In_ymUkG1,Red,"16,739.58",,
432,B02,HDR1: In_ymUkG1,Red,2247.96,,
472,B02,HDR1: In_ymUkG1,Red,2064.47,,
488,B02,HDR1: In_ymUkG1,Red,2271.48,,
565,C01,HDR1: In_ymUkG1,Red,"3,756.83",,
674,C02,HDR1: In_ymUkG1,Red,"3,606.53",,
716,D01,HDR1: In_ymUkG1,Red,"9,452.19",,
862,D02,HDR1: In_ymUkG1,Red,"3,304.12",,
876,D02,HDR1: In_ymUkG1,Red,"1,395.73",,
884,D02,HDR1: In_ymUkG1,Red,"1,481.29",,
885,D02,HDR1: In_ymUkG1,Red,"1,206.62",,
988,E01,HDR1: In_ymUkG1,Red,"3,537.46",,
1072,E02,HDR1: In_ymUkG1,Red,"2,113.67",,
"1,088",E02,HDR1: In_ymUkG1,Red,"2,036.25",,
1132,F01,HDR1: In_ymUkG1,red,"1,297.87",,
1173,F01,HDR1: In_ymUkG1,red,"1,349.16",,
1232,F02,HDR1: In_ymUkG1,red,"1,138.93",,
1273,F02,HDR1: In_ymUkG1,red,"1,562.05",,
131,A01,HDR10: In_pTDH3_yStaygold,Red,"37,001.20","11,984.68",18796.5098
230,A02,HDR10: In_pTDH3_yStaygold,Red,"4,807.63",,
261,A02,HDR10: In_pTDH3_yStaygold,Red,"3,643.51",,
315,B01,HDR10: In_pTDH3_yStaygold,Red,"64,699.24",,
354,B01,HDR10: In_pTDH3_yStaygold,Red,"5,193.06",,
369,B01,HDR10: In_pTDH3_yStaygold,Red,"1,426.42",,
381,B01,HDR10: In_pTDH3_yStaygold,Red,4578.87,,
465,B02,HDR10: In_pTDH3_yStaygold,Red,"4,940.49",,
527,C01,HDR10: In_pTDH3_yStaygold,Red,"12,950.69",,
