"comparison","diff","lwr_CI","upr_CI","p_adj"
"HDR10: In_pTDH3_yStaygold-HDR1: In_ymUkG1",0.447779165335,0.0650856470232035,0.830472683646797,0.00719712301217934
"HDR11: In_pTef1_mUKG1-HDR1: In_ymUkG1",0.547709888028685,0.0321243728087099,1.06329540324866,0.0257198051759452
"HDR12: In_pTef1_yUKG1-HDR1: In_ymUkG1",0.607066397351376,0.207041939380939,1.00709085532181,4.84961850721888e-05
"HDR13: In_pTef1_Staygold-HDR1: In_ymUkG1",0.119590583657063,-0.304218099200311,0.543399266514437,0.999554185740862
"HDR14: In_pTef1_yStaygold-HDR1: In_ymUkG1",0.197579712803488,-0.213318050253679,0.608477475860655,0.936919542260077
"HDR2: In_yStayGold-HDR1: In_ymUkG1",-0.301099755164785,-0.724908438022159,0.122708927692589,0.4784780029378
"HDR3: In_pGK1_mUKG1-HDR1: In_ymUkG1",0.54706735138858,0.0488770121777888,1.04525769059937,0.0171309563109638
"HDR4: In_pGK1_yUKG1-HDR1: In_ymUkG1",0.850839266802904,0.445600656694536,1.25607787691127,1.10599451819127e-09
"HDR5: In_pGK1_Staygold-HDR1: In_ymUkG1",0.639743224558781,0.200329029703631,1.07915741941393,0.000128588733279034
"HDR6:In_pGK1_yStaygold-HDR1: In_ymUkG1",0.141693171523837,-0.253510463014659,0.536896806062332,0.99485390718522
"HDR7:In_pTDH3_mUKG1-HDR1: In_ymUkG1",0.941629613395953,0.482930652474106,1.4003285743178,2.84922785365183e-09
"HDR8: In_pTDH3_yUKG1-HDR1: In_ymUkG1",1.13829645411802,0.743092819579521,1.53350008865651,1.93955962402015e-13
"HDR9: In_pTDH3_Staygold-HDR1: In_ymUkG1",0.353583142976287,-0.116590376109596,0.823756662062169,0.380201642916104
"HDR11: In_pTef1_mUKG1-HDR10: In_pTDH3_yStaygold",0.0999307226936845,-0.418327622854428,0.618189068241797,0.999994232376378
"HDR12: In_pTef1_yUKG1-HDR10: In_pTDH3_yStaygold",0.159287232016375,-0.244176342795728,0.562750806828479,0.987437394151111
"HDR13: In_pTef1_Staygold-HDR10: In_pTDH3_yStaygold",-0.328188581677938,-0.755244888142228,0.098867724786353,0.343866939725556
"HDR14: In_pTef1_yStaygold-HDR10: In_pTDH3_yStaygold",-0.250199452531513,-0.664446070998102,0.164047165935077,0.736953982744343
"HDR2: In_yStayGold-HDR10: In_pTDH3_yStaygold",-0.748878920499785,-1.17593522696408,-0.321822614035495,8.60910305822138e-07
